spawnCode,delay,enemyType,posX,posY,dropItemName,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,fieldTimeLimit,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime,Time
401,1,EnemyS_B,-3.5,2,silver,0,-1,0,1,slow,-0.5,2,0,0,99,str,EBS_A,str,4,1,1,99,3
401,0.25,EnemyS_B,-4.25,1.5,,0,-1,0,1,slow,-1.25,1.5,0,0,99,str,EBS_A,str,4,1,1,99,3.25
401,0.25,EnemyS_B,-5,1,,0,-1,0,1,slow,-2,1,0,0,99,str,EBS_A,str,4,1,1,99,3.5
401,1,EnemyS_B,3.5,2,silver,0,-1,0,1,slow,0.5,2,0,0,99,str,EBS_A,str,4,1,1,99,4.5
401,0.25,EnemyS_B,4.25,1.5,,0,-1,0,1,slow,1.25,1.5,0,0,99,str,EBS_A,str,4,1,1,99,4.75
401,0.25,EnemyS_B,5,1,,0,-1,0,1,slow,2,1,0,0,99,str,EBS_A,str,4,1,1,99,5
402,1.25,EnemyS_A,1,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.25
402,0.25,EnemyS_A,1.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.5
402,0,EnemyS_A,0.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.5
402,0.25,EnemyS_A,2,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.75
402,0,EnemyS_A,0,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,6.75
402,1,EnemyS_A,-1,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,7.75
402,0.25,EnemyS_A,-1.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,8
402,0,EnemyS_A,-0.5,4,,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,8
402,0.25,EnemyS_A,-2,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,8.25
402,0,EnemyS_A,0,4,silver,0,-1,0,2,str,0,0,0,0,99,str,EBS_A,str,4,1,1,2,8.25
403,1,EnemyM_C,-4,2,gold,0,-1,0,0.5,slow,-1.25,1,-2,-1,5,str,EBS_A,way,2.5,3,1.5,2,9.25
403,0.75,EnemyS_C,4,0,silver,0,1,0,2,slow,2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,10
403,0.5,EnemyS_C,3,0,silver,0,1,0,2,slow,1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,10.5
403,0.5,EnemyS_C,4,0,,0,1,0,2,slow,2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,11
403,0.5,EnemyS_C,3,0,,0,1,0,2,slow,1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,11.5
403,0.5,EnemyS_C,4,0,silver,0,1,0,2,slow,2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,12
403,0.5,EnemyS_C,3,0,silver,0,1,0,2,slow,1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,12.5
403,0.5,EnemyS_C,4,0,,0,1,0,2,slow,2,0.5,0,0,99,str,EBS_A,str,4,1,1,99,13
403,0.5,EnemyS_C,3,0,,0,1,0,2,slow,1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,13.5
403,1,EnemyM_C,4,2,gold,0,-1,0,0.5,slow,1.25,1,2,-1,5,str,EBS_A,way,2.5,3,1.5,2,14.5
403,0.75,EnemyS_C,-3,0,silver,0,1,0,2,slow,-1,0.5,0,0,99,str,EBS_A,str,4,1,1,99,15.75
