spawnCode,delay,enemyType,posX,posY,dropItemName,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,fieldTimeLimit,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime,
201,1,EnemyS_B,-2,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,3
201,0.3,EnemyS_B,-2,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,3.3
201,0.3,EnemyS_B,-2,4,silver,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,3.6
201,0.6,EnemyS_B,-1,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,4.2
201,0.3,EnemyS_B,-1,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,4.5
201,0.3,EnemyS_B,-1,4,silver,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,4.8
201,0.6,EnemyS_B,0,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,5.4
201,0.3,EnemyS_B,0,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,5.7
201,0.3,EnemyS_B,0,4,silver,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,6
201,0.6,EnemyS_B,1,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,6.6
201,0.3,EnemyS_B,1,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,6.9
201,0.3,EnemyS_B,1,4,silver,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,7.2
201,0.6,EnemyS_B,2,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,7.8
201,0.3,EnemyS_B,2,4,,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,8.1
201,0.3,EnemyS_B,2,4,silver,0,-1,0,3,str,0,0,0,0,99,str,EBS_A,str,4,1,0.75,3,8.4
202,1,EnemyS_C,-3,0,,0,1,0,2,slow,-1,1,-1,1,3,str,EBS_A,str,4,1,1.25,5,9.4
202,0,EnemyS_C,3,0,,0,1,0,2,slow,1,1,1,1,3,str,EBS_A,str,4,1,1.25,5,9.4
202,0.3,EnemyS_C,-3,-0.5,silver,0,1,0,2,slow,-1,0.5,-1,1,3,str,EBS_A,str,4,1,1.25,5,9.7
202,0,EnemyS_C,3,-0.5,silver,0,1,0,2,slow,1,0.5,1,1,3,str,EBS_A,str,4,1,1.25,5,9.7
202,0.3,EnemyS_C,-3,-1,,0,1,0,2,slow,-1,0,-1,1,3,str,EBS_A,str,4,1,1.25,5,10
202,0,EnemyS_C,3,-1,,0,1,0,2,slow,1,0,1,1,3,str,EBS_A,str,4,1,1.25,5,10
202,0.3,EnemyS_C,-3,-1.5,silver,0,1,0,2,slow,-1,-0.5,-1,1,3,str,EBS_A,str,4,1,1.25,5,10.3
202,0,EnemyS_C,3,-1.5,silver,0,1,0,2,slow,1,-0.5,1,1,3,str,EBS_A,str,4,1,1.25,5,10.3
202,0.6,EnemyS_C,-3,1,,0,1,0,2,slow,-2,2,-1,1,3,str,EBS_A,str,4,1,1.25,5,10.9
202,0,EnemyS_C,3,1,,0,1,0,2,slow,2,2,1,1,3,str,EBS_A,str,4,1,1.25,5,10.9
202,0.3,EnemyS_C,-3,0.5,silver,0,1,0,2,slow,-2,1.5,-1,1,3,str,EBS_A,str,4,1,1.25,5,11.2
202,0,EnemyS_C,3,0.5,silver,0,1,0,2,slow,2,1.5,1,1,3,str,EBS_A,str,4,1,1.25,5,11.2
202,0.3,EnemyS_C,-3,0,,0,1,0,2,slow,-2,1,-1,1,3,str,EBS_A,str,4,1,1.25,5,11.5
202,0,EnemyS_C,3,0,,0,1,0,2,slow,2,1,1,1,3,str,EBS_A,str,4,1,1.25,5,11.5
202,0.3,EnemyS_C,-3,-0.5,silver,0,1,0,2,slow,-2,0.5,-1,1,3,str,EBS_A,str,4,1,1.25,5,11.8
202,0,EnemyS_C,3,-0.5,silver,0,1,0,2,slow,2,0.5,1,1,3,str,EBS_A,str,4,1,1.25,5,11.8
203,2,EnemyM_C,-3,1,gold,0,0,0,2,slow,-1,0,0,-1,6,acc,EBM_A,str,4,3,1.25,2.5,13.8
203,0,EnemyM_C,3,1,gold,0,0,0,2,slow,1,0,0,-1,6,acc,EBM_A,str,4,3,1.25,2.5,13.8
203,3,EnemyM_C,0,3,gold,0,0,0,2,slow,0,2,0,-1,6,acc,EBM_A,way,4,3,1.25,2.5,16.8
204,3.6,EnemyS_D,-0.6,4,pow,0,-1,0,1,slow,-0.6,2,-2,1,4,str,EBS_A,str,4,1,1.5,5,20.4
204,0,EnemyS_D,0.6,4,gold,0,-1,0,1,slow,0.6,2,2,1,4,str,EBS_A,str,4,1,1.5,5,20.4
204,0.3,EnemyS_D,-1.2,4,,0,-1,0,1,slow,-1.2,1.6,-2,1,4,str,EBS_A,str,4,1,1.5,5,20.7
204,0,EnemyS_D,1.2,4,,0,-1,0,1,slow,1.2,1.6,2,1,4,str,EBS_A,str,4,1,1.5,5,20.7
204,0.3,EnemyS_D,-1.8,4,silver,0,-1,0,1,slow,-1.8,1.2,-2,1,4,str,EBS_A,str,4,1,1.5,5,21
204,0,EnemyS_D,1.8,4,silver,0,-1,0,1,slow,1.8,1.2,2,1,4,str,EBS_A,str,4,1,1.5,5,21
211,3,EnemyS_B,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,0
211,0.15,EnemyS_B,-2,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,0.15
211,0.15,EnemyS_B,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,0.3
211,0.15,EnemyS_B,-2,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,0.45
211,0.15,EnemyS_B,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,0.6
211,0.15,EnemyS_B,-2,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,0.75
211,0.5,EnemyS_B,1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,1.25
211,0.15,EnemyS_B,1,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,1.4
211,0.15,EnemyS_B,1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,1.55
211,0.15,EnemyS_B,1,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,1.7
211,0.15,EnemyS_B,1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,1.85
211,0.15,EnemyS_B,1,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,2
211,0.5,EnemyS_B,-1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,2.5
211,0.15,EnemyS_B,-1,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,2.65
211,0.15,EnemyS_B,-1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,2.8
211,0.15,EnemyS_B,-1,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,2.95
211,0.15,EnemyS_B,-1,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,3.1
211,0.15,EnemyS_B,-1,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,3.25
211,0.5,EnemyS_B,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,3.75
211,0.15,EnemyS_B,2,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,3.9
211,0.15,EnemyS_B,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,4.05
211,0.15,EnemyS_B,2,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,4.2
211,0.15,EnemyS_B,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.5,5,4.35
211,0.15,EnemyS_B,2,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,4.5
212,1,EnemyM_A,-1.3,4,gold,0,-1,0,1,str,0,0,0,-1,6,str,EBM_A,way,4,2,1,2,5.5
212,0,EnemyM_A,1.3,4,gold,0,-1,0,1,str,0,0,0,-1,6,str,EBM_A,way,4,2,1,2,5.5
212,0.6,EnemyS_B,0,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,6.1
212,0.2,EnemyS_B,0,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,6.3
212,0.2,EnemyS_B,0,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,6.5
212,0.2,EnemyS_B,0,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,6.7
212,0.2,EnemyS_B,0,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,6.9
212,1,EnemyM_A,-1.3,4,gold,0,-1,0,1,str,0,0,0,-1,6,str,EBM_A,way,4,2,1,2,7.9
212,0,EnemyM_A,1.3,4,gold,0,-1,0,1,str,0,0,0,-1,6,str,EBM_A,way,4,2,1,2,7.9
212,0.6,EnemyS_B,0,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,8.5
212,0.2,EnemyS_B,0,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,8.7
212,0.2,EnemyS_B,0,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,99,5,8.9
