BossLogicCode,delay,posX,posY,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,pos1,pos2,pos3,pos4,pos5,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime
C01,1.5,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBS_A,str,4,3,0,0
C01,0.1,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_A,str,4,3,0,0
C01,0.1,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBS_A,str,4,3,0,0
C01,0.1,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_A,str,4,3,0,0
C01,0.1,0,0,0,0,0,0,str,0,0,0,0,,,1,,,str,EBS_A,way,4,5,0,0
C01,0.5,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBS_A,str,4,3,0,0
C01,0.1,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_A,str,4,3,0,0
C01,0.1,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBS_A,str,4,3,0,0
C01,0.1,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_A,str,4,3,0,0
C01,0.1,0,0,0,0,0,0,str,0,0,0,0,,,1,,,str,EBS_A,way,4,5,0,0
C02,1,0,0,0,0,0,0,str,0,0,0,0,1,1,,1,1,str,EBS_A,down,4,3,0,0
C02,0.1,0,0,0,0,0,0,str,0,0,0,0,,,1,,,acc,EBS_A,spr,4,4,0,0
C02,0.1,0,0,0,0,0,0,str,0,0,0,0,1,1,,1,1,str,EBS_A,down,4,3,0,0
C02,0.5,0,0,0,0,0,0,str,0,0,0,0,1,1,,1,1,str,EBS_A,down,4,3,0,0
C02,0.1,0,0,0,0,0,0,str,0,0,0,0,,,1,,,acc,EBS_A,spr,4,4,0,0
C02,0.1,0,0,0,0,0,0,str,0,0,0,0,1,1,,1,1,str,EBS_A,down,4,3,0,0
C03,1,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBS_B,cir,4,2,0,0
C03,0.1,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_B,cir,4,2,0,0
C03,0.1,0,0,0,0,0,0,str,0,0,0,0,,,1,,,str,EBM_A,str,6,5,0,0
C03,0.6,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBS_B,cir,4,2,0,0
C03,0.1,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBS_B,cir,4,2,0,0
C03,0.1,0,0,0,0,0,0,str,0,0,0,0,,,1,,,str,EBM_A,str,6,5,0,0
C03,1,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,1,,,,1,str,EBM_A,way,5,1,0,0
C03,0,0,0,0,0,0,0,str,0,0,0,0,,1,,1,,str,EBM_A,way,5,1,0,0
Final,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,acc,EBS_B,way,5,3,0,0
